"datecode","t","species","gb2","gc","sr","wsn","wsh","win","wih","wan","wah","En","Eh","Tn","Th","gtn.est","gsn.est","gsn.corr","phi","gamma","eta","hleaf.rough","hleaf","pct.dE","deltaw"
"202602041346",13.2268055555556,"LANO",4.5,0.00036,0,0.0317809231584456,0.0315226420044119,0.0277174712394357,0.0277174712394357,0.00720728820164998,0.0184464379119873,0.00203800573945046,0.00205597420688719,25.0551368501451,24.9181562042236,0.0813179101790337,0.083619666956847,0.10130559145015,0.0035536044442043,0.045024707311178,2.25466872095407,0.858546469818914,0.872141790886585,0.881669128251583,20.5101830377857
"202602091149",10.7251388888889,"HEAN",4.5,0.0016,1,0.0311091273909577,0.0302937054322471,0.0304348395850987,0.0304348395850987,0.0194440826154223,0.0246489285786947,0.00651538299907948,0.00649753848297728,24.6967951830696,24.2526606241862,0.54442107670999,0.308075889762968,0.330005118895782,0.004848409640898,0.146668941731459,2.19838812262393,0.962323558660772,0.978325081337543,-0.273882841649074,10.9907569696764
"202602091149",10.9140277777778,"HEAN",4.5,0.0016,1,0.0309922155564808,0.0302051164645618,0.0303201325846677,0.0303201325846677,0.0197852743148804,0.0247236417803848,0.00656121337087825,0.00658633847508514,24.6337451457977,24.2037830018161,0.570595692462401,0.325126446952193,0.349360132162273,0.00457980133593727,0.155271169849899,2.17806359417233,0.960267443720773,0.978314458655325,0.38293380792046,10.5348582697873
"202602091149",11.0768055555556,"HEAN",4.5,0.0016,1,0.0309634405719589,0.03018525627595,0.0303562434149856,0.0303562434149856,0.0199608570337296,0.024835017254478,0.00657961294443036,0.00659266581530111,24.6181951165199,24.1928082850941,0.582779657004639,0.333140993216064,0.355928099759442,0.00449528992254722,0.158190266559752,2.18007717856207,0.962826008344971,0.98038986799409,0.198383567255263,10.395386381256
"202602091149",11.235,"HEAN",4.5,0.0016,1,0.0309513636038506,0.0301712041814303,0.0303894264331001,0.0303894264331001,0.0200563565304405,0.0248913444337391,0.00661603210232498,0.0066278388295027,24.6116649560761,24.185039308336,0.59176627439945,0.339084363035163,0.360715265588059,0.00443563151504439,0.160317895816915,2.17906050246644,0.964240050020301,0.981844510053166,0.178456316340583,10.3330699026596
"202602091149",11.40375,"HEAN",4.5,0.0016,1,0.0309418058887116,0.030195152451191,0.0303699310884775,0.0303699310884775,0.0201454495191574,0.0249654461020854,0.0066730876424117,0.00666223247466025,24.6064954102039,24.1982776869589,0.60229882688716,0.346085032871266,0.368859054712305,0.004337700212478,0.163937357649913,2.18404339252237,0.964761297754445,0.98151773033898,-0.162670840443607,10.2244815693201
"202602091149",11.56,"HEAN",4.5,0.0016,1,0.0310152149158625,0.03024110827109,0.030528197054745,0.030528197054745,0.0202427420843215,0.025060728634105,0.00668106795776458,0.00668058515179391,24.6461649697924,24.2236559998755,0.60430312635898,0.347421517435701,0.366759648334066,0.00436253008548701,0.163004288148474,2.1812804188571,0.967099501689746,0.984297453284181,-0.00722647896596939,10.2854549704235
"202602091149",11.6805555555556,"HEAN",4.5,0.0016,1,0.031005656128975,0.0302500889809811,0.0305525968153464,0.0305525968153464,0.0202866506195068,0.0251117398695512,0.00667380368337035,0.00667272724041885,24.6410041300456,24.2286115126176,0.606646417410012,0.348985789401772,0.367092295759644,0.0043585768987307,0.163152131448731,2.18137437148299,0.968251227430386,0.985387849502557,-0.0161293769276195,10.2659461958396
"202603061505",11.6568055555556,"HEAN",4.5,0.0016,1,0.0309653053540809,0.030153217405217,0.0303534370392253,0.0303534370392253,0.0207602575937907,0.0251082400196003,0.00781058781366381,0.00779732122560436,24.6192032284207,24.1750903579424,0.745570669199855,0.445214644222417,0.479994307233115,0.00333337286690556,0.213330803214718,2.15224997795241,0.960557830399679,0.980240197606353,-0.169853900576359,9.59317944543462
"202603061505",12.1911111111111,"HEAN",4.5,0.0016,1,0.031417380273846,0.0304919921009709,0.0308093443132252,0.0308093443132252,0.0212285730997721,0.0254214404821396,0.00791915096342564,0.00796176256456723,24.8620492723253,24.3616120020549,0.756780966162207,0.45329114007822,0.488634501081964,0.00327443108592861,0.217170889369762,2.13475556080292,0.958980047833743,0.980646509819695,0.538082950285851,9.58077121345311
